"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","urlvar","current_url","subject","success","timeout","failed_images","failed_audio","failed_video","device_id","stimulus","response"
"[{""page_index"":0,""viewing_time"":1747}]","1747","instructions","0","1748","0.0-0.0","","","","{"""":""""}","https://test12345.live/","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2606}]","2607","instructions","1","4355","0.0-1.0","","","","{"""":""""}","https://test12345.live/","","","","","","","","",""
"","","preload","2","4384","0.0-2.0","","","","{"""":""""}","https://test12345.live/","","true","false","[]","[]","[]","","",""
"","900","fullscreen","3","6286","0.0-3.0","","","","{"""":""""}","https://test12345.live/","","true","","","","","","",""
"","","initialize-microphone","4","7589","0.0-4.0","","","","{"""":""""}","https://test12345.live/","","","","","","","865cfdf1d7b7f3e3b8fc7c474a69f8ffd82e67fb5ba3adf7e69bc55de6016f9d","",""
"[{""page_index"":0,""viewing_time"":1173},{""page_index"":1,""viewing_time"":608}]","1782","instructions","5","9371","0.0-5.0","","","","{"""":""""}","https://test12345.live/","","","","","","","","",""
"","null","image-button-response","6","13873","0.0-6.0-0.0","","","","{"""":""""}","https://test12345.live/","","","","","","","","images/instructions/movie_1.png","null"
"","817","image-button-response","7","14691","0.0-6.0-1.0","","","","{"""":""""}","https://test12345.live/","","","","","","","","images/instructions/movie_1.png","1"
"","null","image-button-response","8","16499","0.0-6.0-2.0","","","","{"""":""""}","https://test12345.live/","","","","","","","","[]","null"
"","null","image-button-response","9","21001","0.0-6.0-0.1","","","","{"""":""""}","https://test12345.live/","","","","","","","","images/instructions/movie_2.png","null"
"","1985","image-button-response","10","22987","0.0-6.0-1.1","","","","{"""":""""}","https://test12345.live/","","","","","","","","images/instructions/movie_2.png","1"
"","null","image-button-response","11","24797","0.0-6.0-2.1","","","","{"""":""""}","https://test12345.live/","","","","","","","","[]","null"
"","null","image-button-response","12","29304","0.0-6.0-0.2","","","","{"""":""""}","https://test12345.live/","","","","","","","","images/instructions/movie_3.png","null"
"","2322","image-button-response","13","31627","0.0-6.0-1.2","","","","{"""":""""}","https://test12345.live/","","","","","","","","images/instructions/movie_3.png","1"
"","null","image-button-response","14","33440","0.0-6.0-2.2","","","","{"""":""""}","https://test12345.live/","","","","","","","","[]","null"
"","null","image-button-response","15","37948","0.0-6.0-0.3","","","","{"""":""""}","https://test12345.live/","","","","","","","","images/instructions/movie_4.png","null"
"","814","image-button-response","16","38763","0.0-6.0-1.3","","","","{"""":""""}","https://test12345.live/","","","","","","","","images/instructions/movie_4.png","1"
"","null","image-button-response","17","40577","0.0-6.0-2.3","","","","{"""":""""}","https://test12345.live/","","","","","","","","[]","null"
"","4695","survey-text","18","45276","0.0-7.0","","","","{"""":""""}","https://test12345.live/","","","","","","","","","{""Q0"":"""",""Q1"":"""",""Q2"":""""}"
"[{""page_index"":0,""viewing_time"":1016}]","1016","instructions","19","46292","0.0-8.0","","","","{"""":""""}","https://test12345.live/","","","","","","","","",""
"","918","survey-text","20","47211","0.0-9.0","","","","{"""":""""}","https://test12345.live/","","","","","","","","","{""Q0"":""""}"
