"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","device_id","view_history","stimulus","response"
"true","false","[]","[]","[]","preload","0","181","0.0-0.0","{"""":""""}","","","","",""
"true","","","","","fullscreen","1","2441","0.0-1.0","{"""":""""}","1247","","","",""
"","","","","","initialize-microphone","2","3875","0.0-2.0","{"""":""""}","","ee0e52bdb5885de6c02fe20548f63739ea7703a6a12c53ccf90b5f25791fa5ab","","",""
"","","","","","instructions","3","5193","0.0-3.0","{"""":""""}","1317","","[{""page_index"":0,""viewing_time"":717},{""page_index"":1,""viewing_time"":600}]","",""
"","","","","","image-button-response","4","9705","0.0-4.0-0.0","{"""":""""}","null","","","images/instructions/movie_1.png","null"
"","","","","","image-button-response","5","10465","0.0-4.0-1.0","{"""":""""}","759","","","images/instructions/movie_1.png","1"
"","","","","","image-button-response","6","12277","0.0-4.0-2.0","{"""":""""}","null","","","[]","null"
"","","","","","image-button-response","7","16782","0.0-4.0-0.1","{"""":""""}","null","","","images/instructions/movie_2.png","null"
"","","","","","image-button-response","8","17625","0.0-4.0-1.1","{"""":""""}","841","","","images/instructions/movie_2.png","1"
"","","","","","image-button-response","9","19430","0.0-4.0-2.1","{"""":""""}","null","","","[]","null"
"","","","","","image-button-response","10","23934","0.0-4.0-0.2","{"""":""""}","null","","","images/instructions/movie_3.png","null"
"","","","","","image-button-response","11","26329","0.0-4.0-1.2","{"""":""""}","2394","","","images/instructions/movie_3.png","1"
"","","","","","image-button-response","12","28137","0.0-4.0-2.2","{"""":""""}","null","","","[]","null"
"","","","","","image-button-response","13","32639","0.0-4.0-0.3","{"""":""""}","null","","","images/instructions/movie_4.png","null"
"","","","","","image-button-response","14","34233","0.0-4.0-1.3","{"""":""""}","1593","","","images/instructions/movie_4.png","1"
"","","","","","image-button-response","15","36036","0.0-4.0-2.3","{"""":""""}","null","","","[]","null"
"","","","","","survey-text","16","40354","0.0-5.0","{"""":""""}","4313","","","","{""Q0"":""11"",""Q1"":""11""}"
"","","","","","instructions","17","41209","0.0-6.0","{"""":""""}","855","","[{""page_index"":0,""viewing_time"":855}]","",""
"","","","","","survey-text","18","43113","0.0-7.0","{"""":""""}","1902","","","","{""Q0"":""11""}"
